ncbi_gene_id,gene_symbol,disease_id,relationship
4864,NPC1,D:10464,associated_with
10577,NPC2,D:10465,associated_with
4308,TRPM1,D:10467,associated_with
6010,RHO,D:10468,associated_with
5158,PDE6B,D:10469,associated_with
4233,MET,D:1047,associated_with
2779,GNAT1,D:10470,associated_with
60506,NYX,D:10471,associated_with
2916,GRM6,D:10472,associated_with
9187,SLC24A1,D:10473,associated_with
440435,GPR179,D:10474,associated_with
345193,LRIT3,D:10475,associated_with
2779,GNAT1,D:10476,associated_with
2784,GNB3,D:10477,associated_with
3000,GUCY2D,D:10478,associated_with
778,CACNA1F,D:10479,associated_with
170689,ADAMTS15,D:1048,associated_with
4683,NBN,D:10481,associated_with
4683,NBN,D:10481,associated_with
4361,MRE11,D:10482,associated_with
10111,RAD50,D:10482,associated_with
10111,RAD50,D:10482,associated_with
9020,MAP3K14,D:10483,associated_with
55733,HHAT,D:10487,associated_with
55733,HHAT,D:10487,associated_with
116931,MED12L,D:10488,associated_with
7169,TPM2,D:1049,associated_with
998,CDC42,D:10494,associated_with
4627,MYH9,D:10498,associated_with
9098,USP6,D:10498,associated_with
54361,WNT4,D:105,associated_with
54361,WNT4,D:105,associated_with
4604,MYBPC1,D:1050,associated_with
3815,KIT,D:10504,associated_with
29895,MYL11,D:1051,associated_with
4621,MYH3,D:1052,associated_with
4621,MYH3,D:1052,associated_with
259232,NALCN,D:1052,associated_with
4621,MYH3,D:1053,associated_with
259232,NALCN,D:1053,associated_with
7136,TNNI2,D:1053,associated_with
7136,TNNI2,D:1053,associated_with
7140,TNNT3,D:1053,associated_with
7169,TPM2,D:1053,associated_with
7140,TNNT3,D:1054,associated_with
4621,MYH3,D:1055,associated_with
63895,PIEZO2,D:1057,associated_with
63895,PIEZO2,D:1057,associated_with
63895,PIEZO2,D:1059,associated_with
63895,PIEZO2,D:1059,associated_with
190,NR0B1,D:106,associated_with
2516,NR5A1,D:106,associated_with
6658,SOX3,D:106,associated_with
6662,SOX9,D:106,associated_with
6736,SRY,D:106,associated_with
9427,ECEL1,D:1060,associated_with
9427,ECEL1,D:1060,associated_with
4626,MYH8,D:1061,associated_with
4626,MYH8,D:1061,associated_with
63895,PIEZO2,D:1062,associated_with
23443,SLC35A3,D:1063,associated_with
23443,SLC35A3,D:1063,associated_with
91754,NEK9,D:1064,associated_with
26276,VPS33B,D:1065,associated_with
5626,PROP1,D:10655,associated_with
6658,SOX3,D:10655,associated_with
6770,STAR,D:10659,associated_with
63894,VIPAS39,D:1066,associated_with
4613,MYCN,D:10681,associated_with
5925,RB1,D:10681,associated_with
63894,VIPAS39,D:1069,associated_with
26276,VPS33B,D:1069,associated_with
84334,COA8,D:10695,associated_with
4254,KITLG,D:10699,associated_with
81848,SPRY4,D:10699,associated_with
84733,CBX2,D:107,associated_with
50846,DHH,D:107,associated_with
57647,DHX37,D:107,associated_with
1761,DMRT1,D:107,associated_with
4214,MAP3K1,D:107,associated_with
190,NR0B1,D:107,associated_with
2516,NR5A1,D:107,associated_with
6662,SOX9,D:107,associated_with
6736,SRY,D:107,associated_with
7490,WT1,D:107,associated_with
8838,CCN6,D:1070,associated_with
8838,CCN6,D:1070,associated_with
16,AARS1,D:10707,associated_with
51412,ACTL6B,D:10707,associated_with
8120,AP3B2,D:10707,associated_with
477,ATP1A2,D:10707,associated_with
